order_id,order_date,customer_id,seller_id,order_status
5893,2023-11-27,50,5,Inprogress
4071,2023-08-29,50,5,Inprogress
3721,2023-08-02,50,2,Inprogress
4631,2022-01-01,50,5,Inprogress
2069,2021-11-21,50,5,Inprogress
4951,2021-10-07,50,1,Inprogress
3007,2020-06-03,50,1,Inprogress
10316,2022-08-03,51,10,Inprogress
3547,2022-01-07,51,2,Inprogress
13035,2023-07-21,52,4,Inprogress
12244,2022-10-15,52,14,Inprogress
17308,2022-07-24,52,34,Inprogress
12502,2020-11-07,52,16,Inprogress
15267,2020-04-12,52,47,Inprogress
6691,2022-11-20,53,1,Inprogress
16424,2021-04-20,53,27,Inprogress
14355,2023-03-31,54,1,Inprogress
18965,2021-01-19,54,28,Inprogress
7018,2023-03-15,55,2,Inprogress
6467,2023-02-22,55,3,Inprogress
17376,2022-07-24,55,35,Inprogress
10890,2022-07-14,55,12,Inprogress
3001,2021-02-20,55,3,Inprogress
7308,2020-11-02,55,1,Inprogress
159,2020-10-09,55,2,Inprogress
19053,2024-02-08,56,23,Inprogress
949,2023-12-25,56,5,Inprogress
12958,2023-05-15,56,3,Inprogress
15265,2022-11-23,56,38,Inprogress
1073,2022-06-29,57,2,Inprogress
12722,2021-01-01,57,20,Inprogress
15659,2020-03-08,57,25,Inprogress
3125,2023-05-11,58,5,Inprogress
10436,2023-04-05,58,7,Inprogress
17496,2021-06-11,58,31,Inprogress
8838,2023-11-05,59,2,Inprogress
15195,2021-11-02,59,1,Inprogress
7324,2021-09-18,59,2,Inprogress
17122,2021-06-09,59,34,Inprogress
8922,2020-10-09,59,3,Inprogress
15918,2020-05-22,59,29,Inprogress
4313,2021-12-11,60,1,Inprogress
17697,2021-01-23,60,28,Inprogress
983,2020-09-28,60,2,Inprogress
3193,2020-05-12,60,1,Inprogress
8698,2024-01-21,61,4,Inprogress
15669,2022-01-31,61,25,Inprogress
18653,2021-03-20,61,27,Inprogress
12676,2020-09-08,61,5,Inprogress
12656,2020-02-04,61,9,Inprogress
14635,2023-12-27,62,12,Inprogress
1231,2023-09-12,62,5,Inprogress
1193,2022-11-20,62,5,Inprogress
3207,2021-12-25,62,2,Inprogress
2395,2022-06-06,63,4,Inprogress
16724,2020-03-10,63,33,Inprogress
2251,2020-02-29,63,4,Inprogress
12176,2023-06-13,64,16,Inprogress
1671,2021-04-14,64,1,Inprogress
9048,2023-10-21,65,1,Inprogress
5123,2022-07-14,65,4,Inprogress
16160,2022-07-13,65,27,Inprogress
1399,2020-05-25,65,4,Inprogress
12620,2023-05-23,66,15,Inprogress
12944,2021-01-15,66,14,Inprogress
4303,2023-10-24,67,1,Inprogress
16446,2023-02-28,67,26,Inprogress
4857,2022-08-13,67,3,Inprogress
7352,2021-04-05,67,2,Inprogress
12394,2020-10-24,67,9,Inprogress
18001,2020-04-07,67,35,Inprogress
19773,2023-11-17,68,24,Inprogress
5981,2021-10-09,68,2,Inprogress
2165,2021-06-03,68,2,Inprogress
1281,2020-12-27,68,5,Inprogress
17088,2020-11-07,68,20,Inprogress
18225,2020-07-21,68,24,Inprogress
7272,2023-12-02,69,5,Inprogress
7098,2022-04-19,69,1,Inprogress
18247,2023-07-16,70,23,Inprogress
19639,2023-05-16,70,35,Inprogress
12758,2022-02-20,70,17,Inprogress
18647,2022-01-25,71,22,Inprogress
4183,2021-01-16,71,3,Inprogress
11440,2020-09-19,71,19,Inprogress
2627,2023-08-27,72,4,Inprogress
18033,2022-12-07,72,32,Inprogress
19745,2022-10-18,72,35,Inprogress
15413,2020-09-05,72,23,Inprogress
4865,2022-08-04,73,4,Inprogress
19979,2021-08-28,73,28,Inprogress
18649,2021-02-05,73,32,Inprogress
8996,2020-08-28,73,2,Inprogress
3757,2023-01-04,74,3,Inprogress
11236,2022-06-03,74,14,Inprogress
19801,2022-06-02,74,29,Inprogress
6081,2022-05-25,74,3,Inprogress
17370,2022-03-23,74,35,Inprogress
6829,2023-09-07,75,5,Inprogress
4545,2023-07-15,75,3,Inprogress
13115,2023-04-06,75,22,Inprogress
15936,2022-06-25,75,28,Inprogress
10054,2022-02-08,75,20,Inprogress
7488,2020-12-05,75,1,Inprogress
13353,2020-06-05,75,12,Inprogress
