product_id,product_name,price,cogs,category_id
1,Apple AirPods 3rd Gen,199.99,78.00,1
2,Apple AirPods Max,549.99,231.00,1
3,Apple AirPods Pro,249.99,112.50,1
4,Apple AirPods Pro 2nd Gen,249.99,17.50,1
5,Apple AirPods Pro 2nd Generation,249.99,20.00,1
6,Apple iMac 24-Inch,1299.99,585.00,1
7,Apple iMac 27-Inch Retina,1799.99,324.00,1
8,Apple iMac Pro,4999.99,400.00,1
9,Apple iPad 10th Gen,449.99,135.00,1
10,Apple iPad 9th Gen,329.99,39.60,1
11,Apple iPad Air (5th Gen),649.99,156.00,1
12,Apple iPad Air (5th Gen),599.99,120.00,1
13,Apple iPad Pro (11-inch),799.99,232.00,1
14,Apple iPad Pro 12.9-inch (4th Gen),999.99,210.00,1
15,Apple iPad Pro 12.9-inch (5th Gen),1099.99,352.00,1
16,Apple iPhone 12 Mini,699.99,210.00,1
17,Apple iPhone 13 Mini,699.99,112.00,1
18,Apple iPhone 14,799.99,208.00,1
19,Apple iPhone 14 Pro,999.99,190.00,1
20,Apple MacBook Air 2020,999.99,270.00,1
21,Apple MacBook Air M1,999.99,220.00,1
22,Apple MacBook Air M2,1299.99,390.00,1
23,Apple MacBook Pro 13-inch (M1),1299.99,273.00,1
24,Apple MacBook Pro 14-inch,1999.99,320.00,1
25,Apple MacBook Pro 16-inch,2499.99,475.00,1
26,Apple MacBook Pro 16-inch (2021),2499.99,450.00,1
27,Apple Magic Keyboard,149.99,33.00,1
28,Apple Magic Keyboard with Touch ID,149.99,25.50,1
29,Apple Magic Mouse 2,79.99,19.20,1
30,Apple Magic Trackpad,129.99,52.00,1
31,Apple TV 4K,179.99,46.80,1
32,Apple TV 4K (2022),179.99,28.80,1
33,Apple TV HD,149.99,42.00,1
34,Apple Watch SE,279.99,64.40,1
35,Apple Watch SE (2022),279.99,106.40,1
36,Apple Watch Series 7,399.99,76.00,1
37,Apple Watch Series 8,399.99,144.00,1
38,Apple Watch Ultra,799.99,232.00,1
39,Dell XPS 13 Laptop,1199.99,456.00,1
40,Dell Alienware Aurora R13,2499.99,525.00,1
41,Dell Inspiron 15 3000,899.99,63.00,1
42,Dell UltraSharp U2720Q Monitor,719.99,309.60,1
43,Dell XPS 17 Laptop,2099.99,231.00,1
44,Dell S3221QS Curved Monitor,599.99,216.00,1
45,Dell G5 Gaming Desktop,1499.99,390.00,1
46,Dell Alienware m15 R6 Gaming Laptop,1699.99,493.00,1
47,Dell Inspiron 14 5000 Laptop,999.99,420.00,1
48,Dell UltraSharp U4021QW Monitor,1999.99,180.00,1
49,Dell XPS 13 Plus,1399.99,476.00,1
50,Dell Inspiron 14 5000,999.99,420.00,1
51,Dell Alienware x17 Gaming Laptop,2099.99,630.00,1
52,Dell XPS 15 Laptop,1799.99,324.00,1
53,Dell Alienware m17 R5 Gaming Laptop,1899.99,779.00,1
54,Samsung 65-Inch QLED TV,1299.99,494.00,1
55,Samsung Galaxy Tab S8,649.99,84.50,1
56,Samsung Galaxy Z Fold 4,1799.99,576.00,1
